Altitude (z),Temperature (K),Pressure,Density
2.469e+06,1.18913e+06,1473.28,7.50484e-08
2.47e+06,1.18924e+06,1472.87,7.50206e-08
2.471e+06,1.18934e+06,1472.46,7.49931e-08
2.472e+06,1.18945e+06,1472.06,7.49659e-08
2.473e+06,1.18955e+06,1471.66,7.4939e-08
2.474e+06,1.18966e+06,1471.27,7.49124e-08
2.475e+06,1.18976e+06,1470.87,7.4886e-08
2.476e+06,1.18986e+06,1470.49,7.48599e-08
2.477e+06,1.18996e+06,1470.1,7.48341e-08
2.478e+06,1.19006e+06,1469.72,7.48085e-08
2.479e+06,1.19016e+06,1469.35,7.47832e-08
2.48e+06,1.19025e+06,1468.97,7.47582e-08
2.481e+06,1.19035e+06,1468.61,7.47334e-08
2.482e+06,1.19045e+06,1468.24,7.47089e-08
2.483e+06,1.19054e+06,1467.88,7.46846e-08
2.484e+06,1.19063e+06,1467.52,7.46605e-08
2.485e+06,1.19073e+06,1467.17,7.46367e-08
2.486e+06,1.19082e+06,1466.82,7.46132e-08
2.487e+06,1.19091e+06,1466.47,7.45898e-08
2.488e+06,1.191e+06,1466.13,7.45668e-08
2.489e+06,1.19109e+06,1465.79,7.45439e-08
2.49e+06,1.19117e+06,1465.45,7.45213e-08
2.491e+06,1.19126e+06,1465.12,7.44989e-08
2.492e+06,1.19135e+06,1464.79,7.44768e-08
2.493e+06,1.19143e+06,1464.46,7.44548e-08
2.494e+06,1.19152e+06,1464.14,7.44331e-08
2.495e+06,1.1916e+06,1463.82,7.44116e-08
2.496e+06,1.19168e+06,1463.5,7.43904e-08
2.497e+06,1.19177e+06,1463.19,7.43693e-08
2.498e+06,1.19185e+06,1462.88,7.43485e-08
2.499e+06,1.19193e+06,1462.57,7.43278e-08
2.5e+06,1.19201e+06,1462.27,7.43074e-08
2.501e+06,1.19209e+06,1461.97,7.42872e-08
2.502e+06,1.19217e+06,1461.67,7.42672e-08
2.503e+06,1.19224e+06,1461.38,7.42474e-08
2.504e+06,1.19232e+06,1461.08,7.42278e-08
2.505e+06,1.1924e+06,1460.79,7.42084e-08
2.506e+06,1.19247e+06,1460.51,7.41892e-08
2.507e+06,1.19255e+06,1460.23,7.41701e-08
2.508e+06,1.19262e+06,1459.94,7.41513e-08
2.509e+06,1.19269e+06,1459.67,7.41327e-08
2.51e+06,1.19276e+06,1459.39,7.41142e-08
2.511e+06,1.19284e+06,1459.12,7.4096e-08
2.512e+06,1.19291e+06,1458.85,7.40779e-08
2.513e+06,1.19298e+06,1458.58,7.406e-08
2.514e+06,1.19305e+06,1458.32,7.40423e-08
2.515e+06,1.19312e+06,1458.06,7.40248e-08
2.516e+06,1.19318e+06,1457.8,7.40074e-08
2.517e+06,1.19325e+06,1457.55,7.39903e-08
2.518e+06,1.19332e+06,1457.29,7.39733e-08
2.519e+06,1.19338e+06,1457.04,7.39564e-08
2.52e+06,1.19345e+06,1456.79,7.39398e-08
2.521e+06,1.19351e+06,1456.55,7.39233e-08
2.522e+06,1.19358e+06,1456.3,7.39069e-08
2.523e+06,1.19364e+06,1456.06,7.38908e-08
2.524e+06,1.1937e+06,1455.82,7.38748e-08
2.525e+06,1.19377e+06,1455.59,7.38589e-08
2.526e+06,1.19383e+06,1455.35,7.38433e-08
2.527e+06,1.19389e+06,1455.12,7.38277e-08
2.528e+06,1.19395e+06,1454.89,7.38124e-08
2.529e+06,1.19401e+06,1454.67,7.37972e-08
2.53e+06,1.19407e+06,1454.44,7.37821e-08
2.531e+06,1.19413e+06,1454.22,7.37672e-08
2.532e+06,1.19419e+06,1454,7.37525e-08
2.533e+06,1.19424e+06,1453.78,7.37379e-08
2.534e+06,1.1943e+06,1453.57,7.37234e-08
2.535e+06,1.19436e+06,1453.35,7.37091e-08
2.536e+06,1.19441e+06,1453.14,7.36949e-08
2.537e+06,1.19447e+06,1452.93,7.36809e-08
2.538e+06,1.19452e+06,1452.73,7.3667e-08
2.539e+06,1.19458e+06,1452.52,7.36533e-08
2.54e+06,1.19463e+06,1452.32,7.36397e-08
2.541e+06,1.19468e+06,1452.12,7.36262e-08
2.542e+06,1.19474e+06,1451.92,7.36129e-08
2.543e+06,1.19479e+06,1451.72,7.35997e-08
2.544e+06,1.19484e+06,1451.53,7.35866e-08
2.545e+06,1.19489e+06,1451.33,7.35737e-08
2.546e+06,1.19494e+06,1451.14,7.35609e-08
2.547e+06,1.19499e+06,1450.95,7.35482e-08
2.548e+06,1.19504e+06,1450.77,7.35357e-08
2.549e+06,1.19509e+06,1450.58,7.35233e-08
